64400	7.271536	1.500180	1
2528	2.160753	0.423756	2
5989	3.633320	0.013408	2
16425	1.890494	0.588704	2
27834	12.023959	1.277846	3
1853	3.256798	1.604363	2
39958	0.872584	1.466939	1
3480	8.320307	1.455567	2
59406	9.348077	1.614173	3
22658	12.677462	0.953126	3
22936	8.237948	1.038158	3
31486	11.333071	1.427403	3
38335	6.010718	0.956497	3
14584	2.300713	1.044753	2
7418	0.931201	1.449293	2
11972	2.006135	1.573251	2
12670	2.372075	1.169609	2
15005	2.899452	0.760966	2
59394	4.276931	0.823686	1
57052	5.048766	1.540768	1
3584	4.445033	0.631348	2
29966	4.989686	0.994650	1
28812	13.425581	1.639484	3
8666	2.179080	0.389254	2
55795	4.166667	1.354067	1
43781	9.342745	1.232498	3
41716	11.742095	0.550970	3
35253	0.537722	0.693671	1
14559	2.489072	1.197924	2
17383	3.362573	1.679527	2
30228	2.642231	1.007087	1
6513	2.503294	0.552357	2
42354	10.775847	1.653695	3
60283	3.610314	1.269634	1
58914	1.428527	0.548927	1
75599	15.073213	0.675865	1
68758	9.139492	0.739462	1
45764	3.661783	0.720746	1
36361	6.562032	1.339473	3
62963	6.743252	0.430493	1
33995	7.514581	1.302423	3
65728	13.502273	0.907354	1
1729	1.946708	1.197208	2
50222	15.379127	1.551037	3
12574	7.164726	0.648153	2
68822	10.689512	0.663063	1
32973	4.983734	0.935806	3
3290	7.145872	1.563402	2
6213	1.253361	1.291512	2
16169	2.496207	1.460150	2
27353	2.054047	0.680004	1
68944	13.296246	1.517605	1
8436	3.921945	0.381127	2
7725	3.667218	1.215145	2
14974	12.008396	0.965357	3
19653	9.241465	0.328848	3
39245	10.579472	0.017876	3
40288	10.345272	1.637458	3
6044	5.368171	1.263639	2
54762	1.851206	0.985476	1
46421	2.605281	1.011169	1
24322	7.449086	0.271549	3
79499	11.052657	0.672119	1
33815	2.238210	0.237882	1
8691	2.730627	0.892762	2
69667	8.649440	0.866606	1
64122	7.474054	0.464368	1
66825	12.318274	1.368557	1
20806	11.828017	0.565239	3
19018	10.765271	0.420879	3
32936	7.971110	0.285612	3
50027	2.404521	1.407878	1
9469	0.531097	0.845705	2
29680	3.031171	1.629433	1
21139	9.384655	1.004901	3
70758	10.907517	0.744949	1
